          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,27740,    0,         0,    87840,31.58 
   LUT as Logic            ,25063,    0,         0,    87840,28.53 
   LUT as Memory           , 2677,    0,         0,    57600, 4.65 
     LUT as Distributed RAM, 1254,    0,          ,         ,      
     LUT as Shift Register , 1423,    0,          ,         ,      
 CLB Registers             ,43707,    0,         0,   175680,24.88 
   Register as Flip Flop   ,43707,    0,         0,   175680,24.88 
   Register as Latch       ,    0,    0,         0,   175680, 0.00 
 CARRY8                    , 1346,    0,         0,    14640, 9.19 
 F7 Muxes                  ,  103,    0,         0,    58560, 0.18 
 F8 Muxes                  ,    0,    0,         0,    29280, 0.00 
 F9 Muxes                  ,    0,    0,         0,    14640, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 48   ,         Yes,          -,         Set 
 8511 ,         Yes,          -,       Reset 
 906  ,         Yes,        Set,           - 
 34242,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 5711,    0,         0,    14640,39.01 
   CLBL                                    , 2380,    0,          ,         ,      
   CLBM                                    , 3331,    0,          ,         ,      
 LUT as Logic                              ,25063,    0,         0,    87840,28.53 
   using O5 output only                    , 1078,     ,          ,         ,      
   using O6 output only                    ,19278,     ,          ,         ,      
   using O5 and O6                         , 4707,     ,          ,         ,      
 LUT as Memory                             , 2677,    0,         0,    57600, 4.65 
   LUT as Distributed RAM                  , 1254,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   14,     ,          ,         ,      
     using O5 and O6                       , 1240,     ,          ,         ,      
   LUT as Shift Register                   , 1423,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,  983,     ,          ,         ,      
     using O5 and O6                       ,  440,     ,          ,         ,      
 CLB Registers                             ,43707,    0,         0,   175680,24.88 
