          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,25880,    0,         0,    70560,36.68 
   LUT as Logic            ,23520,    0,         0,    70560,33.33 
   LUT as Memory           , 2360,    0,         0,    28800, 8.19 
     LUT as Distributed RAM,  956,    0,          ,         ,      
     LUT as Shift Register , 1404,    0,          ,         ,      
 CLB Registers             ,40411,    0,         0,   141120,28.64 
   Register as Flip Flop   ,40411,    0,         0,   141120,28.64 
   Register as Latch       ,    0,    0,         0,   141120, 0.00 
 CARRY8                    , 1346,    0,         0,     8820,15.26 
 F7 Muxes                  ,  123,    0,         0,    35280, 0.35 
 F8 Muxes                  ,    0,    0,         0,    17640, 0.00 
 F9 Muxes                  ,    0,    0,         0,     8820, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 53   ,         Yes,          -,         Set 
 7873 ,         Yes,          -,       Reset 
 846  ,         Yes,        Set,           - 
 31639,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 5113,    0,         0,     8820,57.97 
   CLBL                                    , 3209,    0,          ,         ,      
   CLBM                                    , 1904,    0,          ,         ,      
 LUT as Logic                              ,23520,    0,         0,    70560,33.33 
   using O5 output only                    ,  715,     ,          ,         ,      
   using O6 output only                    ,18482,     ,          ,         ,      
   using O5 and O6                         , 4323,     ,          ,         ,      
 LUT as Memory                             , 2360,    0,         0,    28800, 8.19 
   LUT as Distributed RAM                  ,  956,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   12,     ,          ,         ,      
     using O5 and O6                       ,  944,     ,          ,         ,      
   LUT as Shift Register                   , 1404,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,  964,     ,          ,         ,      
     using O5 and O6                       ,  440,     ,          ,         ,      
 CLB Registers                             ,40411,    0,         0,   141120,28.64 
   Register driven from within the CLB     ,22009,     ,          ,         ,      
   Register driven from outside the CLB    ,18402,     ,          ,         ,      
     LUT in front of the register is unused,13096,     ,          ,         ,      
     LUT in front of the register is used  , 5306,     ,          ,         ,      
 Unique Control Sets                       , 1442,     ,         0,    17640, 8.17 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,   9,    0,         0,      216, 4.17 
   RAMB36/FIFO*   ,   9,    0,         0,      216, 4.17 
     RAMB36E2 only,   9,     ,          ,         ,      
   RAMB18         ,   0,    0,         0,      432, 0.00 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          ,  56,    0,         0,      360,15.56 
